strategy,total_return_pct,final_value_usdc,initial_value_usdc
HODL 50/50,-9.97,9003.37,10000
Omnis AI,-15.7,8430.31,10000
Pure BTC,-19.93,8006.73,10000
Charm Alpha,-47.09,5291.0,10000
Steer Classic,-99.0,100.0,10000
Steer Elastic,-99.0,100.0,10000
