timestamp,datetime,omnis_ai,hodl_50_50,pure_btc,charm_alpha,steer_classic,btc_price
1752790702,2025-07-18 06:18:22,9587.34,10000.0,10000.0,10000.0,10000.0,119789.44
1752810702,2025-07-18 11:51:42,9515.06,10014.25,10028.49,9940.84,9923.29,120130.76
1752820702,2025-07-18 14:38:22,9520.8,10010.92,10021.84,9921.42,9885.16,120051.07
1752850702,2025-07-18 22:58:22,9473.36,9942.09,9884.19,9872.35,9771.63,118402.1
1752870702,2025-07-19 04:31:42,9428.22,9941.77,9883.54,9843.87,9696.67,118394.32
1752935702,2025-07-19 22:35:02,9418.57,9926.68,9853.36,9763.25,9457.01,118032.79
1752995702,2025-07-20 15:15:02,9404.72,9932.07,9864.14,9698.31,9241.04,118161.95
1753030702,2025-07-21 00:58:22,9460.92,9941.82,9883.64,9663.12,9117.34,118395.55
1753050702,2025-07-21 06:31:42,9425.13,9930.88,9861.76,9643.7,9047.4,118133.43
1753070702,2025-07-21 12:05:02,9459.86,9950.88,9901.75,9624.73,8978.0,118612.55
1753100702,2025-07-21 20:25:02,9452.29,9935.29,9870.58,9597.02,8874.89,118239.13
1753110702,2025-07-21 23:11:42,9495.04,9947.56,9895.11,9587.96,8840.79,118532.97
1753135702,2025-07-22 06:08:22,9339.11,9921.72,9843.43,9565.68,8756.1,117913.93
1753160702,2025-07-22 13:05:02,9325.78,9891.91,9783.82,9543.89,8672.22,117199.78
1753170702,2025-07-22 15:51:42,9350.21,9924.38,9848.75,9535.29,8638.89,117977.65
1753190702,2025-07-22 21:25:02,9376.13,9924.42,9848.84,9518.3,8572.62,117978.64
1753195702,2025-07-22 22:48:22,9375.16,9967.17,9934.35,9514.1,8556.14,119003.01
1753210702,2025-07-23 02:58:22,9386.44,9982.31,9964.63,9501.57,8506.86,119365.72
1753240702,2025-07-23 11:18:22,9382.71,9950.36,9900.73,9476.91,8409.17,118600.24
1753260702,2025-07-23 16:51:42,9380.31,9930.41,9860.82,9460.74,8344.66,118122.18
1753275702,2025-07-23 21:01:42,9380.95,9924.23,9848.46,9448.75,8296.6,117974.2
1753285702,2025-07-23 23:48:22,9385.78,9928.08,9856.17,9440.82,8264.72,118066.5
1753295702,2025-07-24 02:35:02,9387.24,9940.07,9880.14,9432.93,8232.96,118353.68
1753300702,2025-07-24 03:58:22,9395.54,9921.15,9842.3,9429.01,8217.13,117900.35
1753305702,2025-07-24 05:21:42,9391.43,9930.63,9861.26,9425.09,8201.32,118127.43
1753310702,2025-07-24 06:45:02,9398.05,9951.55,9903.1,9421.19,8185.55,118628.63
1753320702,2025-07-24 09:31:42,9408.68,9959.05,9918.1,9413.42,8154.09,118808.38
1753335702,2025-07-24 13:41:42,9405.62,9932.88,9865.77,9401.85,8107.14,118181.47
1753340702,2025-07-24 15:05:02,9401.87,9936.58,9873.16,9398.02,8091.54,118270.08
1753345702,2025-07-24 16:28:22,9409.88,9959.81,9919.62,9394.19,8075.98,118826.62
1753345702,2025-07-24 16:28:22,9417.77,9959.81,9919.62,9394.19,8075.98,118826.62
1753350702,2025-07-24 17:51:42,9417.78,9936.0,9871.99,9390.37,8060.45,118256.04
1753355702,2025-07-24 19:15:02,9418.99,9956.71,9913.42,9386.57,8044.95,118752.26
1753360702,2025-07-24 20:38:22,9422.75,9955.89,9911.78,9382.77,8029.47,118732.7
1753365702,2025-07-24 22:01:42,9427.59,9963.97,9927.93,9378.99,8014.03,118926.15
1753365702,2025-07-24 22:01:42,9428.28,9963.97,9927.93,9378.99,8014.03,118926.15
1753370702,2025-07-24 23:25:02,9307.38,9971.7,9943.41,9375.21,7998.62,119111.53
1753370702,2025-07-24 23:25:02,9317.27,9971.7,9943.41,9375.21,7998.62,119111.53
1753375702,2025-07-25 00:48:22,9324.19,9972.35,9944.71,9371.45,7983.23,119127.12
1753375702,2025-07-25 00:48:22,9303.61,9972.35,9944.71,9371.45,7983.23,119127.12
1753380702,2025-07-25 02:11:42,9340.03,9972.48,9944.96,9367.69,7967.88,119130.07
1753380702,2025-07-25 02:11:42,9340.04,9972.48,9944.96,9367.69,7967.88,119130.07
1753385702,2025-07-25 03:35:02,9341.21,9963.78,9927.56,9363.95,7952.56,118921.73
1753395702,2025-07-25 06:21:42,9319.24,9937.75,9875.51,9356.48,7921.99,118298.16
1753400702,2025-07-25 07:45:02,9312.69,9928.51,9857.02,9352.76,7906.76,118076.63
1753405702,2025-07-25 09:08:22,9278.14,9912.23,9824.46,9349.06,7891.55,117686.68
1753410702,2025-07-25 10:31:42,9267.83,9882.23,9764.47,9345.36,7876.37,116968.01
1753415702,2025-07-25 11:55:02,9116.49,9863.29,9726.57,9341.66,7861.22,116514.05
1753425702,2025-07-25 14:41:42,9124.1,9876.71,9753.42,9334.31,7831.02,116835.67
1753430702,2025-07-25 16:05:02,9126.47,9871.63,9743.27,9330.64,7815.95,116714.02
1753435702,2025-07-25 17:28:22,9131.83,9881.12,9762.24,9326.99,7800.92,116941.34
1753445702,2025-07-25 20:15:02,9135.53,9867.3,9734.59,9319.7,7770.94,116610.13
1753455702,2025-07-25 23:01:42,9126.98,9827.32,9654.63,9312.45,7741.08,115652.32
1753460702,2025-07-26 00:25:02,9111.56,9853.46,9706.93,9308.83,7726.19,116278.75
1753460702,2025-07-26 00:25:02,9121.12,9853.46,9706.93,9308.83,7726.19,116278.75
1753465702,2025-07-26 01:48:22,9134.3,9858.89,9717.78,9305.23,7711.33,116408.73
1753465702,2025-07-26 01:48:22,9143.36,9858.89,9717.78,9305.23,7711.33,116408.73
1753475702,2025-07-26 04:35:02,9158.41,9886.54,9773.08,9298.04,7681.7,117071.19
1753480702,2025-07-26 05:58:22,9166.01,9888.33,9776.67,9294.45,7666.92,117114.13
1753495702,2025-07-26 10:08:22,9173.14,9906.63,9813.26,9283.75,7622.77,117552.51
1753510702,2025-07-26 14:18:22,9175.72,9901.5,9803.0,9273.12,7578.87,117429.59
1753520702,2025-07-26 17:05:02,9178.35,9906.61,9813.22,9266.07,7549.75,117551.95
1753530702,2025-07-26 19:51:42,9182.2,9922.26,9844.53,9259.04,7520.74,117927.02
1753550702,2025-07-27 01:25:02,9183.45,9928.88,9857.76,9245.08,7463.05,118085.58
1753565702,2025-07-27 05:35:02,9184.74,9930.81,9861.63,9234.68,7420.07,118131.88
1753575702,2025-07-27 08:21:42,9185.05,9924.33,9848.66,9227.78,7391.55,117976.48
1753605702,2025-07-27 16:41:42,9186.13,9925.17,9850.34,9207.24,7306.67,117996.69
1753620702,2025-07-27 20:51:42,9187.34,9930.26,9860.53,9197.05,7264.59,118118.69
