strategy,max_drawdown_pct,risk_level
HODL 50/50,9.99,Low
Omnis AI,18.07,Low
Pure BTC,19.98,Low
Charm Alpha,99.31,High
Steer Classic,100.0,High
Steer Elastic,100.0,High
