strategy,rebalance_count,gas_cost_usdc,cost_per_rebalance
HODL 50/50,0,0,0
Omnis AI,37,1110,30.0
Pure BTC,0,0,0
Charm Alpha,55,1650,30.0
Steer Classic,44,1320,30.0
Steer Elastic,698,20940,30.0
