timestamp,datetime,lp_value_usdc,hodl_value_usdc,il_pct
1752790702,2025-07-18 06:18:22,10000.00,9987.02,0.1300
1753370702,2025-07-24 23:25:02,5060.00,9958.67,-49.1900
1753370702,2025-07-24 23:25:02,5032.00,9958.67,-49.4712
1753375702,2025-07-25 00:48:22,5036.00,9959.67,-49.4361
1753380702,2025-07-25 02:11:42,5062.00,9959.67,-49.1750
1753385702,2025-07-25 03:35:02,5058.00,9951.24,-49.1722
1753385702,2025-07-25 03:35:02,5017.00,9951.24,-49.5842
1755490702,2025-08-18 12:18:22,5021.00,9814.54,-48.8412
1755535702,2025-08-19 00:48:22,5083.00,9851.26,-48.4026
1755540702,2025-08-19 02:11:42,5129.00,9851.26,-47.9356
1755550702,2025-08-19 04:58:22,5103.00,9850.29,-48.1944
1755555702,2025-08-19 06:21:42,5179.00,9848.35,-47.4125
1755560702,2025-08-19 07:45:02,5083.00,9843.02,-48.3594
1755570702,2025-08-19 10:31:42,5086.00,9837.70,-48.3009
1755880702,2025-08-23 00:38:22,9166.00,9839.64,-6.8461
1755880702,2025-08-23 00:38:22,9149.00,9839.64,-7.0189
1755880702,2025-08-23 00:38:22,9149.00,9839.64,-7.0189
1755885702,2025-08-23 02:01:42,9234.00,9864.87,-6.3951
1755885702,2025-08-23 02:01:42,9432.00,9864.87,-4.3880
1755890702,2025-08-23 03:25:02,9518.00,9858.06,-3.4496
1755905702,2025-08-23 07:35:02,9587.00,9860.98,-2.7784
1755915702,2025-08-23 10:21:42,9209.00,9823.69,-6.2572
1755920702,2025-08-23 11:45:02,8977.00,9817.43,-8.5606
1755925702,2025-08-23 13:08:22,8951.00,9827.55,-8.9193
1755930702,2025-08-23 14:31:42,8968.00,9822.25,-8.6971
1756515702,2025-08-30 09:01:42,4993.00,9516.98,-47.5359
1756525702,2025-08-30 11:48:22,4997.00,9522.85,-47.5262
1756550702,2025-08-30 18:45:02,5059.00,9531.91,-46.9256
1756565702,2025-08-30 22:55:02,5007.00,9525.57,-47.4362
1756570702,2025-08-31 00:18:22,5037.00,9531.00,-47.1514
1756585702,2025-08-31 04:28:22,5043.00,9522.85,-47.0432
1756600702,2025-08-31 08:38:22,5080.00,9545.98,-46.7839
1756600702,2025-08-31 08:38:22,5122.00,9545.98,-46.3439
1756605702,2025-08-31 10:01:42,5157.00,9550.07,-46.0004
1756610702,2025-08-31 11:25:02,5150.00,9546.89,-46.0557
1756615702,2025-08-31 12:48:22,5122.00,9545.52,-46.3413
1756630702,2025-08-31 16:58:22,5118.00,9545.07,-46.3807
1756655702,2025-08-31 23:55:02,5051.00,9529.64,-46.9970
1756665702,2025-09-01 02:41:42,5092.00,9537.35,-46.6099
1757235702,2025-09-07 17:01:42,5066.00,9623.92,-47.3603
1757270702,2025-09-08 02:45:02,5073.00,9623.45,-47.2850
1757290702,2025-09-08 08:18:22,5090.00,9615.14,-47.0626
1757290702,2025-09-08 08:18:22,5064.00,9615.14,-47.3331
1757295702,2025-09-08 09:41:42,5053.00,9607.76,-47.4071
1757305702,2025-09-08 12:28:22,5088.00,9620.22,-47.1114
1757310702,2025-09-08 13:51:42,5069.00,9626.69,-47.3443
1757320702,2025-09-08 16:38:22,5120.00,9645.70,-46.9193
1757335702,2025-09-08 20:48:22,5242.00,9666.18,-45.7697
1757345702,2025-09-08 23:35:02,5278.00,9680.20,-45.4763
1757350702,2025-09-09 00:58:22,5291.00,9675.06,-45.3130
1757360702,2025-09-09 03:45:02,5271.00,9665.25,-45.4644
1757375702,2025-09-09 07:55:02,5274.00,9648.49,-45.3386
1757380702,2025-09-09 09:18:22,5195.00,9641.05,-46.1159
1757385702,2025-09-09 10:41:42,5129.00,9641.05,-46.8004
1758090702,2025-09-17 14:31:42,5011.00,9872.66,-49.2436
1758090702,2025-09-17 14:31:42,5019.00,9872.66,-49.1626
1758100702,2025-09-17 17:18:22,5005.00,9858.06,-49.2294
1758175702,2025-09-18 14:08:22,5059.00,9869.25,-48.7398
1758175702,2025-09-18 14:08:22,5037.00,9869.25,-48.9627
1758185702,2025-09-18 16:55:02,5067.00,9877.53,-48.7018
1758200702,2025-09-18 21:05:02,5053.00,9876.56,-48.8384
1758205702,2025-09-18 22:28:22,5065.00,9892.18,-48.7980
1758210702,2025-09-18 23:51:42,5109.00,9887.78,-48.3302
1758225702,2025-09-19 04:01:42,5109.00,9886.32,-48.3225
1758235702,2025-09-19 06:48:22,5059.00,9864.38,-48.7145
1758240702,2025-09-19 08:11:42,5055.00,9875.09,-48.8106
1758245702,2025-09-19 09:35:02,5075.00,9878.02,-48.6233
1758250702,2025-09-19 10:58:22,5061.00,9873.63,-48.7423
1758255702,2025-09-19 12:21:42,5015.00,9871.19,-49.1956
1759020702,2025-09-28 08:51:42,4989.00,9561.92,-47.8243
1759070702,2025-09-28 22:45:02,4999.00,9570.13,-47.7646
1759080702,2025-09-29 01:31:42,5088.00,9586.16,-46.9235
1759100702,2025-09-29 07:05:02,5323.00,9653.14,-44.8573
1759115702,2025-09-29 11:15:02,5381.00,9655.00,-44.2672
1759125702,2025-09-29 14:01:42,5381.00,9652.67,-44.2538
1759130702,2025-09-29 15:25:02,5369.00,9651.74,-44.3727
1759150702,2025-09-29 20:58:22,5410.00,9663.38,-44.0155
1759155702,2025-09-29 22:21:42,5578.00,9723.46,-42.6336
1759165702,2025-09-30 01:08:22,5724.00,9729.13,-41.1664
1759175702,2025-09-30 03:55:02,5832.00,9763.77,-40.2690
1759185702,2025-09-30 06:41:42,5822.00,9761.39,-40.3569
1759720702,2025-10-06 11:18:22,5000.00,10160.00,-50.7874
1759730702,2025-10-06 14:05:02,4991.00,10159.48,-50.8735
1759735702,2025-10-06 15:28:22,5045.00,10146.09,-50.2764
1759740702,2025-10-06 16:51:42,5005.00,10160.51,-50.7407
1759750702,2025-10-06 19:38:22,5052.00,10179.64,-50.3715
1759750702,2025-10-06 19:38:22,5097.00,10179.64,-49.9295
1759760702,2025-10-06 22:25:02,5180.00,10191.57,-49.1737
1759760702,2025-10-06 22:25:02,5221.00,10191.57,-48.7714
1759760702,2025-10-06 22:25:02,5203.00,10191.57,-48.9480
1759760702,2025-10-06 22:25:02,5207.00,10191.57,-48.9088
1759765702,2025-10-06 23:48:22,5266.00,10203.52,-48.3904
1759765702,2025-10-06 23:48:22,5241.00,10203.52,-48.6354
1759770702,2025-10-07 01:11:42,5284.00,10217.07,-48.2826
1759775702,2025-10-07 02:35:02,5270.00,10232.22,-48.4960
1759780702,2025-10-07 03:58:22,5286.00,10208.21,-48.2181
1759790702,2025-10-07 06:45:02,5209.00,10195.20,-48.9074
1759800702,2025-10-07 09:31:42,5171.00,10191.57,-49.2620
1759805702,2025-10-07 10:55:02,5146.00,10178.61,-49.4430
1759810702,2025-10-07 12:18:22,5083.00,10181.20,-50.0746
1759815702,2025-10-07 13:41:42,5139.00,10177.05,-49.5041
1759825702,2025-10-07 16:28:22,4991.00,10154.84,-50.8510
1759830702,2025-10-07 17:51:42,5047.00,10163.61,-50.3425
1759835702,2025-10-07 19:15:02,5108.00,10174.98,-49.7984
1759840702,2025-10-07 20:38:22,5173.00,10190.01,-49.2346
1759845702,2025-10-07 22:01:42,5094.00,10121.45,-49.6712
1759845702,2025-10-07 22:01:42,5049.00,10121.45,-50.1158
1760550702,2025-10-16 01:51:42,4990.00,9601.77,-48.0304
1760560702,2025-10-16 04:38:22,5095.00,9609.14,-46.9776
1760560702,2025-10-16 04:38:22,5062.00,9609.14,-47.3210
1760565702,2025-10-16 06:01:42,5048.00,9616.52,-47.5070
1760570702,2025-10-16 07:25:02,5068.00,9613.75,-47.2839
1760575702,2025-10-16 08:48:22,5039.00,9617.45,-47.6056
1760575702,2025-10-16 08:48:22,5010.00,9617.45,-47.9072
1760580702,2025-10-16 10:11:42,5095.00,9637.81,-47.1353
1760590702,2025-10-16 12:58:22,5145.00,9632.71,-46.5882
1760590702,2025-10-16 12:58:22,5097.00,9632.71,-47.0865
