timestamp,datetime,lp_value_usdc,hodl_value_usdc,il_pct
1752790702,2025-07-18 06:18:22,9587.34,9987.02,-4.0020
1752810702,2025-07-18 11:51:42,9515.06,10001.50,-4.8637
1752820702,2025-07-18 14:38:22,9520.80,9998.00,-4.7730
1752850702,2025-07-18 22:58:22,9473.36,9929.51,-4.5938
1752870702,2025-07-19 04:31:42,9428.22,9929.01,-5.0437
1752935702,2025-07-19 22:35:02,9418.57,9914.25,-4.9997
1752995702,2025-07-20 15:15:02,9404.72,9919.16,-5.1864
1753030702,2025-07-21 00:58:22,9460.92,9929.01,-4.7144
1753050702,2025-07-21 06:31:42,9425.13,9918.18,-4.9712
1753070702,2025-07-21 12:05:02,9459.86,9938.39,-4.8149
1753100702,2025-07-21 20:25:02,9452.29,9922.61,-4.7399
1753110702,2025-07-21 23:11:42,9495.04,9934.93,-4.4277
1753135702,2025-07-22 06:08:22,9339.11,9908.85,-5.7498
1753160702,2025-07-22 13:05:02,9325.78,9879.48,-5.6046
1753170702,2025-07-22 15:51:42,9350.21,9911.79,-5.6658
1753190702,2025-07-22 21:25:02,9376.13,9911.79,-5.4043
1753195702,2025-07-22 22:48:22,9375.16,9954.21,-5.8172
1753210702,2025-07-23 02:58:22,9386.44,9969.59,-5.8493
1753240702,2025-07-23 11:18:22,9382.71,9937.40,-5.5818
1753260702,2025-07-23 16:51:42,9380.31,9917.69,-5.4184
1753275702,2025-07-23 21:01:42,9380.95,9911.79,-5.3557
1753285702,2025-07-23 23:48:22,9385.78,9915.23,-5.3398
1753295702,2025-07-24 02:35:02,9387.24,9927.53,-5.4424
1753300702,2025-07-24 03:58:22,9395.54,9908.35,-5.1756
1753305702,2025-07-24 05:21:42,9391.43,9918.18,-5.3110
1753310702,2025-07-24 06:45:02,9398.05,9938.88,-5.4416
1753320702,2025-07-24 09:31:42,9408.68,9946.29,-5.4052
1753335702,2025-07-24 13:41:42,9405.62,9920.15,-5.1867
1753340702,2025-07-24 15:05:02,9401.87,9924.09,-5.2621
1753345702,2025-07-24 16:28:22,9409.88,9947.28,-5.4025
1753345702,2025-07-24 16:28:22,9417.77,9947.28,-5.3232
1753350702,2025-07-24 17:51:42,9417.78,9923.10,-5.0924
1753355702,2025-07-24 19:15:02,9418.99,9943.82,-5.2780
1753360702,2025-07-24 20:38:22,9422.75,9943.33,-5.2354
1753365702,2025-07-24 22:01:42,9427.59,9951.24,-5.2622
1753365702,2025-07-24 22:01:42,9428.28,9951.24,-5.2552
1753370702,2025-07-24 23:25:02,9307.38,9958.67,-6.5400
1753370702,2025-07-24 23:25:02,9317.27,9958.67,-6.4407
1753375702,2025-07-25 00:48:22,9324.19,9959.67,-6.3805
1753375702,2025-07-25 00:48:22,9303.61,9959.67,-6.5871
1753380702,2025-07-25 02:11:42,9340.03,9959.67,-6.2214
1753380702,2025-07-25 02:11:42,9340.04,9959.67,-6.2213
1753385702,2025-07-25 03:35:02,9341.21,9951.24,-6.1302
1753395702,2025-07-25 06:21:42,9319.24,9925.07,-6.1040
1753400702,2025-07-25 07:45:02,9312.69,9915.72,-6.0816
1753405702,2025-07-25 09:08:22,9278.14,9899.53,-6.2769
1753410702,2025-07-25 10:31:42,9267.83,9869.73,-6.0985
1753415702,2025-07-25 11:55:02,9116.49,9850.78,-7.4541
1753425702,2025-07-25 14:41:42,9124.10,9864.38,-7.5046
1753430702,2025-07-25 16:05:02,9126.47,9859.03,-7.4304
1753435702,2025-07-25 17:28:22,9131.83,9868.76,-7.4673
1753445702,2025-07-25 20:15:02,9135.53,9854.66,-7.2974
1753455702,2025-07-25 23:01:42,9126.98,9815.02,-7.0101
1753460702,2025-07-26 00:25:02,9111.56,9841.09,-7.4131
1753460702,2025-07-26 00:25:02,9121.12,9841.09,-7.3159
1753465702,2025-07-26 01:48:22,9134.30,9846.42,-7.2322
1753465702,2025-07-26 01:48:22,9143.36,9846.42,-7.1402
1753475702,2025-07-26 04:35:02,9158.41,9874.12,-7.2483
1753480702,2025-07-26 05:58:22,9166.01,9875.58,-7.1851
1753495702,2025-07-26 10:08:22,9173.14,9894.14,-7.2872
1753510702,2025-07-26 14:18:22,9175.72,9888.76,-7.2106
1753520702,2025-07-26 17:05:02,9178.35,9894.14,-7.2345
1753530702,2025-07-26 19:51:42,9182.20,9909.83,-7.3425
1753550702,2025-07-27 01:25:02,9183.45,9916.21,-7.3896
1753565702,2025-07-27 05:35:02,9184.74,9918.18,-7.3949
1753575702,2025-07-27 08:21:42,9185.05,9911.79,-7.3321
1753605702,2025-07-27 16:41:42,9186.13,9912.28,-7.3258
1753620702,2025-07-27 20:51:42,9187.34,9917.69,-7.3641
1753640702,2025-07-28 02:25:02,9187.49,9954.21,-7.7025
1753650702,2025-07-28 05:11:42,9187.50,9948.77,-7.6519
1753655702,2025-07-28 06:35:02,9187.60,9967.11,-7.8208
1753665702,2025-07-28 09:21:42,9187.58,9957.19,-7.7292
1753670702,2025-07-28 10:45:02,9187.61,9970.59,-7.8529
1753675702,2025-07-28 12:08:22,9187.58,9966.12,-7.8118
1753685702,2025-07-28 14:55:02,9187.57,9949.76,-7.6604
1753690702,2025-07-28 16:18:22,9187.52,9957.19,-7.7298
1753695702,2025-07-28 17:41:42,9187.50,9948.77,-7.6519
1753700702,2025-07-28 19:05:02,9187.40,9944.81,-7.6161
1753705702,2025-07-28 20:28:22,9187.51,9946.79,-7.6334
1753710702,2025-07-28 21:51:42,9187.43,9916.21,-7.3494
1753710702,2025-07-28 21:51:42,9187.42,9916.21,-7.3495
1753710702,2025-07-28 21:51:42,9187.41,9916.21,-7.3496
1753715702,2025-07-28 23:15:02,9187.66,9917.20,-7.3563
1753715702,2025-07-28 23:15:02,9188.22,9917.20,-7.3506
1753720702,2025-07-29 00:38:22,9188.44,9901.49,-7.2014
1753720702,2025-07-29 00:38:22,9188.85,9901.49,-7.1973
1753725702,2025-07-29 02:01:42,9190.93,9901.98,-7.1809
1753730702,2025-07-29 03:25:02,9194.36,9911.79,-7.2382
1753730702,2025-07-29 03:25:02,9196.45,9911.79,-7.2171
